id,name,price,description,category,product_purchase,date_posted
59f7bcd5-6867-4842-8694-ac84f378c5e9,Nike zoom pegasus mesh sports shoes,35000.0,Nike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoesNike zoom pegasus mesh sports shoes,Shoes,0,2024-06-17 19:23:48+00:00
7a41f545-9caa-42c8-a0a2-4688e2f7b92d,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.",jewelery,0,2024-06-14 02:52:54.649808+00:00
53dc69e6-d683-4b2d-b53c-789fd9034e41,Mens Casual Slim Fit,1500.0,"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.",men's clothing,1,2024-06-14 02:52:48+00:00
7c4a01e0-02bf-4d3d-852b-ab9c279f957b,Mens Cotton Jacket,60.0,"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.",men's clothing,3,2024-06-14 02:52:45+00:00
3e49ae41-8e8e-4cdb-beed-ebbd43c08e37,Mens Casual Premium Slim Fit T-Shirts ,22.3,"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.",men's clothing,0,2024-06-14 02:52:43.008855+00:00
af614da9-8b0e-490a-82af-52be9cbb3ae6,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",men's clothing,0,2024-06-14 02:52:40.192962+00:00
f376ba02-5e61-4162-9d10-ad1e68e666ee,2 Piece Fashion Mens Short Sleeve Shorts white,15000.0,2_Piece_Set_Fashion_Mens_Short_Sleeve_Shorts-white2_Piece_Set_Fashion_Mens_Short_Sleeve_Shorts-white2_Piece_Set_Fashion_Mens_Short_Sleeve_Shorts-white2_Piece_Set_Fashion_Mens_Short_Sleeve_Shorts-white2_Piece_Set_Fashion_Mens_Short_Sleeve_Shorts-white2_Piece_Set_Fashion_Mens_Short_Sleeve_Shorts-white,Shirt,3,2024-05-26 09:20:02+00:00
8698fc51-af7a-4206-9091-c1183c438c7a,Sneakers Heeled,25000.0,"Carrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeans
Carrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeans

Carrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeans

Carrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeansCarrot-fit jeans",Shoes,1,2024-05-26 09:18:30+00:00
8542ac0d-70e4-4f54-87b6-fc91b6b7e5af,Carrot-fit jeans,6000.0,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections

He must have tried it a hundred times, shut his eyes so that he wouldn't have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before.",Trousers,1,2024-05-26 09:16:08+00:00
6139d58d-99b5-414c-a42b-b2df9eb9f103,Short top,2500.0,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections

He must have tried it a hundred times, shut his eyes so that he wouldn't have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before.",Shirt,5,2024-05-26 09:14:36+00:00
